,opn,high,low,close,volume,epochDate,date
143,46.2125,46.2475,45.935,46.2275,37546316.0,1552656600000,2019-03-15 06:30:00-07:00
144,46.2275,46.335,46.1075,46.3125,10333632.0,1552658400000,2019-03-15 07:00:00-07:00
145,46.3125,46.4175,46.2275,46.41,7570184.0,1552660200000,2019-03-15 07:30:00-07:00
146,46.4125,46.6225,46.38,46.5525,9964644.0,1552662000000,2019-03-15 08:00:00-07:00
147,46.5561,46.6275,46.5263,46.6025,7167460.0,1552663800000,2019-03-15 08:30:00-07:00
148,46.6025,46.745,46.57,46.6725,6620616.0,1552665600000,2019-03-15 09:00:00-07:00
149,46.6721,46.7025,46.595,46.6113,6817776.0,1552667400000,2019-03-15 09:30:00-07:00
150,46.615,46.69,46.6075,46.68,4231872.0,1552669200000,2019-03-15 10:00:00-07:00
151,46.6775,46.8125,46.6675,46.7963,5531696.0,1552671000000,2019-03-15 10:30:00-07:00
152,46.795,46.8025,46.67,46.7625,6450884.0,1552672800000,2019-03-15 11:00:00-07:00
153,46.765,46.795,46.7225,46.7775,4313708.0,1552674600000,2019-03-15 11:30:00-07:00
154,46.7775,46.8325,46.735,46.75,6261508.0,1552676400000,2019-03-15 12:00:00-07:00
155,46.7475,46.7725,46.4725,46.5525,18501808.0,1552678200000,2019-03-15 12:30:00-07:00
156,46.45,46.9114,46.4475,46.8325,16334068.0,1552915800000,2019-03-18 06:30:00-07:00
157,46.83,47.09,46.8225,47.0817,12558396.0,1552917600000,2019-03-18 07:00:00-07:00
158,47.0813,47.0975,46.92,47.055,8309944.0,1552919400000,2019-03-18 07:30:00-07:00
159,47.055,47.0575,46.815,46.9025,6890492.0,1552921200000,2019-03-18 08:00:00-07:00
160,46.905,46.9112,46.795,46.8925,6213268.0,1552923000000,2019-03-18 08:30:00-07:00
161,46.8925,46.9175,46.78,46.8175,4392708.0,1552924800000,2019-03-18 09:00:00-07:00
162,46.82,46.9013,46.755,46.855,4054500.0,1552926600000,2019-03-18 09:30:00-07:00
163,46.85,46.9575,46.825,46.955,4332616.0,1552928400000,2019-03-18 10:00:00-07:00
164,46.9525,47.025,46.935,47.025,3674552.0,1552930200000,2019-03-18 10:30:00-07:00
165,47.0221,47.0552,46.95,46.9525,4750148.0,1552932000000,2019-03-18 11:00:00-07:00
166,46.955,46.9975,46.9275,46.9907,5557024.0,1552933800000,2019-03-18 11:30:00-07:00
167,46.9925,47.0154,46.915,46.95,5287652.0,1552935600000,2019-03-18 12:00:00-07:00
168,46.9513,47.0625,46.9425,47.0075,8674832.0,1552937400000,2019-03-18 12:30:00-07:00
169,47.0875,47.2475,47.0,47.0375,17908460.0,1553002200000,2019-03-19 06:30:00-07:00
170,47.04,47.1125,46.8525,46.8638,13387424.0,1553004000000,2019-03-19 07:00:00-07:00
171,46.866,46.9225,46.78,46.7975,8824208.0,1553005800000,2019-03-19 07:30:00-07:00
172,46.7975,46.9475,46.7075,46.8816,9054272.0,1553007600000,2019-03-19 08:00:00-07:00
173,46.8825,47.01,46.835,47.005,6021260.0,1553009400000,2019-03-19 08:30:00-07:00
174,47.0075,47.0975,46.99,47.003,5553308.0,1553011200000,2019-03-19 09:00:00-07:00
175,47.005,47.025,46.7326,46.9225,8299860.0,1553013000000,2019-03-19 09:30:00-07:00
176,46.9275,46.9462,46.82,46.8325,4309944.0,1553014800000,2019-03-19 10:00:00-07:00
177,46.8275,46.845,46.71,46.7675,4912356.0,1553016600000,2019-03-19 10:30:00-07:00
178,46.765,46.82,46.71,46.785,4271116.0,1553018400000,2019-03-19 11:00:00-07:00
179,46.79,46.8792,46.7725,46.825,4364352.0,1553020200000,2019-03-19 11:30:00-07:00
180,46.8275,46.8325,46.6025,46.64,6101352.0,1553022000000,2019-03-19 12:00:00-07:00
181,46.64,46.6925,46.48,46.635,15323476.0,1553023800000,2019-03-19 12:30:00-07:00
182,46.5575,46.645,46.1825,46.355,15125868.0,1553088600000,2019-03-20 06:30:00-07:00
183,46.3575,46.78,46.3525,46.7425,8846864.0,1553090400000,2019-03-20 07:00:00-07:00
184,46.75,46.8443,46.7075,46.7724,5324204.0,1553092200000,2019-03-20 07:30:00-07:00
185,46.7725,46.81,46.5375,46.6225,14067716.0,1553094000000,2019-03-20 08:00:00-07:00
186,46.6175,46.675,46.58,46.5825,4731156.0,1553095800000,2019-03-20 08:30:00-07:00
187,46.5825,46.79,46.5825,46.785,7555520.0,1553097600000,2019-03-20 09:00:00-07:00
188,46.7838,46.8,46.6175,46.737,5712816.0,1553099400000,2019-03-20 09:30:00-07:00
189,46.735,46.7575,46.6925,46.7075,2667756.0,1553101200000,2019-03-20 10:00:00-07:00
190,46.705,46.79,46.7025,46.79,2602096.0,1553103000000,2019-03-20 10:30:00-07:00
191,46.79,47.3125,46.77,47.2963,13420964.0,1553104800000,2019-03-20 11:00:00-07:00
192,47.2975,47.3725,47.18,47.2028,9406476.0,1553106600000,2019-03-20 11:30:00-07:00
193,47.205,47.245,47.1,47.2013,7362624.0,1553108400000,2019-03-20 12:00:00-07:00
194,47.2013,47.22,46.9675,47.0425,12334240.0,1553110200000,2019-03-20 12:30:00-07:00
195,47.505,48.225,47.4525,48.1542,32878028.0,1553175000000,2019-03-21 06:30:00-07:00
196,48.155,48.4925,48.1,48.4588,17751152.0,1553176800000,2019-03-21 07:00:00-07:00
197,48.46,48.71,48.4425,48.7039,16289152.0,1553178600000,2019-03-21 07:30:00-07:00
198,48.705,48.775,48.5525,48.6025,13942912.0,1553180400000,2019-03-21 08:00:00-07:00
199,48.6025,48.7675,48.5775,48.7125,10744148.0,1553182200000,2019-03-21 08:30:00-07:00
200,48.71,48.73,48.535,48.545,7528604.0,1553184000000,2019-03-21 09:00:00-07:00
201,48.545,48.735,48.51,48.6685,7532696.0,1553185800000,2019-03-21 09:30:00-07:00
202,48.6675,48.7075,48.61,48.7025,4971304.0,1553187600000,2019-03-21 10:00:00-07:00
203,48.7025,48.8925,48.68,48.89,8091772.0,1553189400000,2019-03-21 10:30:00-07:00
204,48.89,49.07,48.885,49.04,12107164.0,1553191200000,2019-03-21 11:00:00-07:00
205,49.04,49.045,48.855,48.9425,8151224.0,1553193000000,2019-03-21 11:30:00-07:00
206,48.945,49.035,48.8775,48.9413,9303424.0,1553194800000,2019-03-21 12:00:00-07:00
207,48.9425,49.0825,48.75,48.7625,24144232.0,1553196600000,2019-03-21 12:30:00-07:00
208,48.835,49.4225,48.5025,48.6225,35994344.0,1553261400000,2019-03-22 06:30:00-07:00
209,48.6225,49.1225,48.6225,48.925,18191144.0,1553263200000,2019-03-22 07:00:00-07:00
210,48.9275,49.035,48.6025,48.705,11340200.0,1553265000000,2019-03-22 07:30:00-07:00
211,48.7075,48.7225,48.445,48.5945,11633544.0,1553266800000,2019-03-22 08:00:00-07:00
212,48.5875,48.6575,48.2275,48.2375,10845840.0,1553268600000,2019-03-22 08:30:00-07:00
213,48.235,48.415,48.135,48.165,9558128.0,1553270400000,2019-03-22 09:00:00-07:00
214,48.1575,48.3075,48.0076,48.19,7102764.0,1553272200000,2019-03-22 09:30:00-07:00
215,48.19,48.36,48.08,48.1425,5606560.0,1553274000000,2019-03-22 10:00:00-07:00
216,48.14,48.2375,48.005,48.03,4856548.0,1553275800000,2019-03-22 10:30:00-07:00
217,48.0325,48.295,48.0125,48.24,5742776.0,1553277600000,2019-03-22 11:00:00-07:00
218,48.2382,48.3725,48.155,48.35,5406764.0,1553279400000,2019-03-22 11:30:00-07:00
219,48.3525,48.4125,48.0625,48.07,7378748.0,1553281200000,2019-03-22 12:00:00-07:00
220,48.065,48.0725,47.695,47.765,21008016.0,1553283000000,2019-03-22 12:30:00-07:00
221,47.8775,47.995,46.8125,46.9375,32945120.0,1553520600000,2019-03-25 06:30:00-07:00
222,46.9383,47.185,46.8642,47.1775,16176400.0,1553522400000,2019-03-25 07:00:00-07:00
223,47.175,47.625,47.14,47.5175,11792200.0,1553524200000,2019-03-25 07:30:00-07:00
224,47.515,47.625,47.29,47.5922,8704808.0,1553526000000,2019-03-25 08:00:00-07:00
225,47.59,47.653,47.5025,47.54,6685496.0,1553527800000,2019-03-25 08:30:00-07:00
226,47.54,47.74,47.5075,47.64,5907524.0,1553529600000,2019-03-25 09:00:00-07:00
227,47.6425,47.665,47.35,47.445,7353960.0,1553531400000,2019-03-25 09:30:00-07:00
228,47.4518,47.48,47.0475,47.1546,10556052.0,1553533200000,2019-03-25 10:00:00-07:00
229,47.1507,47.295,46.96,47.0625,11085672.0,1553535000000,2019-03-25 10:30:00-07:00
230,47.0628,47.1075,46.7975,46.9225,10344040.0,1553536800000,2019-03-25 11:00:00-07:00
231,46.9225,47.1,46.81,46.8688,12006488.0,1553538600000,2019-03-25 11:30:00-07:00
232,46.8675,46.98,46.65,46.9759,13139828.0,1553540400000,2019-03-25 12:00:00-07:00
233,46.975,47.2075,46.9125,47.1925,17107320.0,1553542200000,2019-03-25 12:30:00-07:00
234,47.916,48.125,47.54,48.1175,25950028.0,1553607000000,2019-03-26 06:30:00-07:00
235,48.12,48.22,47.82,47.9845,19028428.0,1553608800000,2019-03-26 07:00:00-07:00
236,47.985,48.075,47.7675,48.07,11605176.0,1553610600000,2019-03-26 07:30:00-07:00
237,48.0675,48.11,47.8375,47.905,9425152.0,1553612400000,2019-03-26 08:00:00-07:00
238,47.905,47.9875,47.6925,47.7875,11742824.0,1553614200000,2019-03-26 08:30:00-07:00
239,47.79,47.88,47.6825,47.695,6443760.0,1553616000000,2019-03-26 09:00:00-07:00
240,47.6925,47.7675,47.5425,47.655,7220320.0,1553617800000,2019-03-26 09:30:00-07:00
241,47.6525,47.77,47.58,47.6264,5779288.0,1553619600000,2019-03-26 10:00:00-07:00
242,47.6275,47.635,47.2,47.269,14935160.0,1553621400000,2019-03-26 10:30:00-07:00
243,47.2675,47.345,47.035,47.04,10093600.0,1553623200000,2019-03-26 11:00:00-07:00
244,47.04,47.0775,46.71,46.7375,13400916.0,1553625000000,2019-03-26 11:30:00-07:00
245,46.7375,47.6775,46.3802,46.3969,14563520.0,1553626800000,2019-03-26 12:00:00-07:00
246,46.395,46.6975,46.145,46.6975,25757220.0,1553628600000,2019-03-26 12:30:00-07:00
247,47.1875,47.41,47.0725,47.13,20699396.0,1553693400000,2019-03-27 06:30:00-07:00
248,47.13,47.42,47.0475,47.3741,12285644.0,1553695200000,2019-03-27 07:00:00-07:00
249,47.375,47.44,47.08,47.24,10632128.0,1553697000000,2019-03-27 07:30:00-07:00
250,47.24,47.2713,46.82,46.8525,8863352.0,1553698800000,2019-03-27 08:00:00-07:00
251,46.8475,46.885,46.6375,46.83,8903564.0,1553700600000,2019-03-27 08:30:00-07:00
252,46.8275,47.095,46.8113,47.0725,7074536.0,1553702400000,2019-03-27 09:00:00-07:00
253,47.0725,47.145,46.955,46.995,4975076.0,1553704200000,2019-03-27 09:30:00-07:00
254,47.0025,47.2625,46.9075,47.2275,5652100.0,1553706000000,2019-03-27 10:00:00-07:00
255,47.23,47.3162,47.1813,47.2125,4118600.0,1553707800000,2019-03-27 10:30:00-07:00
256,47.2175,47.3375,47.17,47.22,4546992.0,1553709600000,2019-03-27 11:00:00-07:00
257,47.2175,47.265,47.05,47.065,4915380.0,1553711400000,2019-03-27 11:30:00-07:00
258,47.065,47.1475,47.0225,47.1375,4642776.0,1553713200000,2019-03-27 12:00:00-07:00
259,47.1375,47.2175,47.0225,47.1175,9875348.0,1553715000000,2019-03-27 12:30:00-07:00
260,47.2375,47.3898,47.0,47.1525,11604124.0,1553779800000,2019-03-28 06:30:00-07:00
261,47.16,47.2375,46.955,47.02,8270512.0,1553781600000,2019-03-28 07:00:00-07:00
262,47.02,47.195,47.0075,47.1275,10129456.0,1553783400000,2019-03-28 07:30:00-07:00
263,47.1275,47.2063,46.9975,47.0275,6162000.0,1553785200000,2019-03-28 08:00:00-07:00
264,47.025,47.1725,46.9891,47.1543,4712528.0,1553787000000,2019-03-28 08:30:00-07:00
265,47.1525,47.2088,47.0125,47.04,4123696.0,1553788800000,2019-03-28 09:00:00-07:00
266,47.045,47.0975,47.0025,47.0739,4229796.0,1553790600000,2019-03-28 09:30:00-07:00
267,47.075,47.1238,47.03,47.085,3002000.0,1553792400000,2019-03-28 10:00:00-07:00
268,47.0875,47.1025,47.0,47.03,3965384.0,1553794200000,2019-03-28 10:30:00-07:00
269,47.03,47.0475,46.9125,46.9485,4221784.0,1553796000000,2019-03-28 11:00:00-07:00
270,46.9475,46.975,46.8825,46.9725,4013808.0,1553797800000,2019-03-28 11:30:00-07:00
271,46.97,47.145,46.9525,47.1075,4996416.0,1553799600000,2019-03-28 12:00:00-07:00
272,47.1075,47.215,47.0925,47.1775,8436760.0,1553801400000,2019-03-28 12:30:00-07:00
273,47.4575,47.52,47.195,47.305,10867212.0,1553866200000,2019-03-29 06:30:00-07:00
274,47.305,47.43,47.2701,47.4025,7961028.0,1553868000000,2019-03-29 07:00:00-07:00
275,47.4,47.4075,47.135,47.1975,6581116.0,1553869800000,2019-03-29 07:30:00-07:00
276,47.195,47.31,47.1775,47.2875,4407012.0,1553871600000,2019-03-29 08:00:00-07:00
277,47.2875,47.3998,47.27,47.3425,5289068.0,1553873400000,2019-03-29 08:30:00-07:00
278,47.3425,47.3575,47.2375,47.315,3962092.0,1553875200000,2019-03-29 09:00:00-07:00
279,47.315,47.3525,47.25,47.33,2890664.0,1553877000000,2019-03-29 09:30:00-07:00
